FishID,cohort,pattern
MLL-4B8O-0906,906,7
MLL-4G6G-0906,906,21
MLL-4G6K-0906,906,27
MLL-4G6O-0906,906,2
MLL-4G7G-0906,906,17
MLL-4G7Y-0906,906,26
MLL-4G8B-0906,906,3
MLL-4G8G-0906,906,7
MLL-4G8Y-0906,906,99
MLL-4K5B-0906,906,14
MLL-4K5G-0906,906,99
MLL-4K5O-0906,906,11
MLL-4R8P-0906,906,7
MLL-4R8R-0906,906,27
MLL-4R8V-0906,906,99
MLL-4R8Y-0906,906,14
MLL-4V5B-0906,906,99
MLL-4V5G-0906,906,25
MLL-4V5K-0906,906,5
MLL-4V5O-0906,906,17
MLL-4V5P-0906,906,24
MLL-4V5R-0906,906,22
MLL-4V5V-0906,906,99
MLL-4V5Y-0906,906,7
MLL-4V6B-0906,906,11
MLL-4V6G-0906,906,15
MLL-4V6K-0906,906,3
MLL-4V6O-0906,906,99
MLL-4V6P-0906,906,99
MLL-4V6R-0906,906,11
MLL-4V6V-0906,906,11
MLL-4V6Y-0906,906,1
MLL-4V7B-0906,906,18
MLL-4V7G-0906,906,99
MLL-4V7K-0906,906,1
MLL-4V7O-0906,906,99
MLL-4V7P-0906,906,5
MLL-4V7R-0906,906,99
MLL-4V7V-0906,906,5
MLL-4V8B-0906,906,22
MLL-4V8Y-0906,906,99
MLL-4Y8P-0906,906,99
MLL-5B6K-0906,906,22
MLL-5B6O-0906,906,22
MLL-5G6P-0906,906,25
MLL-5G7R-0906,906,20
MLL-5G8P-0906,906,5
MLL-5G8R-0906,906,14
MLL-5G8V-0906,906,1
MLL-6G8G-0906,906,27
MLL-1R6B-0907,907,12
MLL-1R6Y-0907,907,2
MLL-1R7B-0907,907,24
MLL-1R7Y-0907,907,14
MLL-1R8O-0907,907,1
MLL-1R8P-0907,907,20
MLL-1R8V-0907,907,99
MLL-1R8Y-0907,907,99
MLL-1V5P-0907,907,14
MLL-1V6O-0907,907,12
MLL-1V6P-0907,907,99
MLL-1V7O-0907,907,17
MLL-1V7P-0907,907,29
MLL-1V8O-0907,907,20
MLL-1Y2B5W-0907,907,7
MLL-1Y3G7P-0907,907,18
MLL-2G5Y-0907,907,17
MLL-2K4W-0907,907,22
MLL-2K6K-0907,907,3
MLL-2R5R-0907,907,99
MLL-2R6K-0907,907,99
MLL-2V6P-0907,907,14
MLL-3B5O-0907,907,23
MLL-3B7P-0907,907,11
MLL-5P6P-0907,907,25
MLL-5Y6K-0907,907,6
MLL-5Y6O-0907,907,6
MLL-5Y6R-0907,907,11
MLL-5Y6V-0907,907,25
MLL-5Y6Y-0907,907,14
MLL-5Y7B-0907,907,20
MLL-5Y7V-0907,907,24
MLL-5Y8P-0907,907,13
MLL-5Y8V-0907,907,2
MLL-6B7R-0907,907,12
MLL-6B8K-0907,907,27
MLL-6B8O-0907,907,23
MLL-6B8P-0907,907,25
MLL-6G7O-0907,907,12
MLL-6G8B-0907,907,17
MLL-6G8K-0907,907,12
MLL-6P8O-0907,907,25
MLL-6R8K-0907,907,25
MLL-1B6W-0908,908,6
MLL-1O2W-0908,908,99
MLL-1W5O-0908,908,14
MLL-2B4W-0908,908,25
MLL-2B8W-0908,908,29
MLL-2P5K-0908,908,25
MLL-2P6B-0908,908,17
MLL-2P7B-0908,908,23
MLL-2P7V-0908,908,28
MLL-2P8B-0908,908,99
MLL-2P8V-0908,908,26
MLL-2R6P-0908,908,26
MLL-2R7O-0908,908,28
MLL-2W3O-0908,908,99
MLL-2W8V-0908,908,99
MLL-3B7W-0908,908,99
MLL-3K7R-0908,908,11
MLL-4B7W-0908,908,99
MLL-4O6W-0908,908,19
MLL-4W6O-0908,908,19
MLL-5B8W-0908,908,11
MLL-5Y7G-0908,908,1
MLL-5Y7K-0908,908,1
MLL-5Y7O-0908,908,17
MLL-5Y7P-0908,908,25
MLL-5Y7R-0908,908,3
MLL-5Y7Y-0908,908,1
MLL-5Y8B-0908,908,99
MLL-5Y8G-0908,908,7
MLL-5Y8K-0908,908,23
MLL-5Y8O-0908,908,25
MLL-5Y8R-0908,908,3
MLL-5Y8Y-0908,908,2
MLL-6B7B-0908,908,3
MLL-6K7W-0908,908,19
MLL-6O7O-0908,908,12
MLL-7W8O-0908,908,23
MLL-1G2W-0909,909,8
MLL-1G6W-0909,909,12
MLL-1W2B-0909,909,27
MLL-1W6G-0909,909,12
MLL-2G4W-0909,909,99
MLL-2G8W-0909,909,14
MLL-2O8B-0909,909,15
MLL-2P5V-0909,909,99
MLL-2P6V-0909,909,28
MLL-2P8K-0909,909,99
MLL-2R5K-0909,909,14
MLL-2R5O-0909,909,9
MLL-2R6G-0909,909,26
MLL-3G7W-0909,909,22
MLL-3O8V-0909,909,27
MLL-3W6O-0909,909,1
MLL-4B7K-0909,909,1
MLL-4G7W-0909,909,25
MLL-5G8W-0909,909,17
MLL-6B7K-0909,909,15
MLL-6B7O-0909,909,99
MLL-6B7P-0909,909,1
MLL-6B7V-0909,909,12
MLL-6B8B-0909,909,27
MLL-6B8G-0909,909,12
MLL-6B8R-0909,909,99
MLL-6B8V-0909,909,9
MLL-6B8Y-0909,909,22
MLL-6G7B-0909,909,5
MLL-6G7K-0909,909,17
MLL-6G7R-0909,909,9
MLL-6W7W-0909,909,2
MLL-1B3W-0910,910,18
MLL-1B7W-0910,910,15
MLL-1G7W-0910,910,99
MLL-1K2W-0910,910,22
MLL-1R6W-0910,910,23
MLL-1W2G-0910,910,23
MLL-1W2O-0910,910,99
MLL-1W2W-0910,910,18
MLL-2B7Y-0910,910,1
MLL-2B8B-0910,910,11
MLL-2B8O-0910,910,99
MLL-2B8P-0910,910,27
MLL-2B8Y-0910,910,2
MLL-2G5B-0910,910,7
MLL-2G5W-0910,910,14
MLL-2G6K-0910,910,7
MLL-2G7G-0910,910,15
MLL-2G7K-0910,910,99
MLL-2G8K-0910,910,7
MLL-2K5B-0910,910,23
MLL-2K5G-0910,910,27
MLL-2K8O-0910,910,4
MLL-2O5K-0910,910,2
MLL-2O5Y-0910,910,11
MLL-2R6O-0910,910,11
MLL-2R6Y-0910,910,99
MLL-2R7B-0910,910,2
MLL-2R7G-0910,910,22
MLL-2R7K-0910,910,7
MLL-2R7V-0910,910,27
MLL-2R7Y-0910,910,99
MLL-2R8B-0910,910,6
MLL-2R8G-0910,910,18
MLL-2V5B-0910,910,99
MLL-2V5P-0910,910,7
MLL-2V6O-0910,910,6
MLL-2V7O-0910,910,99
MLL-2W4P-0910,910,1
MLL-3B8W-0910,910,99
MLL-3G8W-0910,910,99
MLL-3W7W-0910,910,3
MLL-4B8W-0910,910,99
MLL-5B7W-0910,910,29
MLL-5K8W-0910,910,17
MLL-6B7W-0910,910,1
MLL-6G7P-0910,910,23
MLL-6G7V-0910,910,18
MLL-6G7W-0910,910,1
MLL-6G7Y-0910,910,99
MLL-6G8O-0910,910,14
MLL-6G8P-0910,910,23
MLL-6G8R-0910,910,23
MLL-6G8V-0910,910,18
MLL-6G8Y-0910,910,1
MLL-6K7B-0910,910,14
MLL-6K7G-0910,910,1
MLL-6K7K-0910,910,99
MLL-6K7O-0910,910,99
MLL-6K7P-0910,910,12
MLL-6K7Y-0910,910,11
MLL-6K8B-0910,910,99
MLL-6K8G-0910,910,14
MLL-6K8K-0910,910,20
MLL-6K8P-0910,910,24
MLL-6K8Y-0910,910,14
MLL-6O7B-0910,910,2
MLL-6O7G-0910,910,99
MLL-6O7K-0910,910,99
MLL-6O7P-0910,910,5
MLL-6O7V-0910,910,99
MLL-6O7Y-0910,910,99
MLL-6O8B-0910,910,21
MLL-6O8G-0910,910,99
MLL-6O8K-0910,910,29
MLL-6O8O-0910,910,99
MLL-6O8P-0910,910,29
MLL-6O8R-0910,910,99
MLL-6O8V-0910,910,23
MLL-6O8Y-0910,910,23
MLL-6P7B-0910,910,27
MLL-6P7G-0910,910,5
MLL-6P7K-0910,910,17
MLL-6P7O-0910,910,23
MLL-6P7P-0910,910,25
MLL-6P7R-0910,910,28
MLL-6P7Y-0910,910,11
MLL-6P8B-0910,910,99
MLL-6P8G-0910,910,99
MLL-6P8K-0910,910,23
MLL-6P8P-0910,910,24
MLL-6P8R-0910,910,26
MLL-6P8V-0910,910,17
MLL-6R7O-0910,910,26
MLL-6R7P-0910,910,23
MLL-6R7R-0910,910,22
MLL-6R7V-0910,910,23
MLL-6R7Y-0910,910,24
MLL-6R8O-0910,910,14
MLL-6R8P-0910,910,1
MLL-6R8R-0910,910,2
MLL-6R8V-0910,910,9
MLL-6R8Y-0910,910,5
MLL-1K2R7K-0911,911,99
MLL-1R2Y7G-0911,911,17
MLL-1V2W-0911,911,99
MLL-2B8K-0911,911,21
MLL-2G5K-0911,911,17
MLL-2G7Y-0911,911,7
MLL-2K5V-0911,911,18
MLL-2K5Y-0911,911,99
MLL-2K6B-0911,911,20
MLL-2K6O-0911,911,9
MLL-2K6P-0911,911,24
MLL-2K6R-0911,911,23
MLL-2K6V-0911,911,2
MLL-2K6Y-0911,911,1
MLL-2K7B-0911,911,99
MLL-2K7K-0911,911,17
MLL-2K7P-0911,911,4
MLL-2K7R-0911,911,9
MLL-2K7V-0911,911,99
MLL-2K8B-0911,911,99
MLL-2K8K-0911,911,15
MLL-2K8P-0911,911,1
MLL-2K8V-0911,911,11
MLL-2O5B-0911,911,21
MLL-2O5R-0911,911,14
MLL-2O5V-0911,911,28
MLL-2O6B-0911,911,99
MLL-3G6O-0911,911,7
MLL-3K6O-0911,911,29
MLL-4K5R-0911,911,15
MLL-4K5V-0911,911,5
MLL-4K5Y-0911,911,18
MLL-4K6B-0911,911,22
MLL-4K6G-0911,911,17
MLL-5R8W-0911,911,12
MLL-5W8W-0911,911,22
MLL-6K7R-0911,911,1
MLL-6K8R-0911,911,28
MLL-6K8V-0911,911,18
MLL-6O7R-0911,911,23
MLL-6P8Y-0911,911,14
MLL-6R7B-0911,911,27
